epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,10871,0.83493,1.31256,2.08111,1.04044,0.76707,0.29231,0.29834,0.25675,0.76935,0.29231,0.30144,0.25336,0.58225,0.7691,2.32366,0.9019,0.000412749,0.000412749,0.000412749
40,11308.6,0.78439,1.36562,1.95017,0.99579,0.80022,0.26154,0.32139,0.27544,0.80022,0.26154,0.32139,0.27101,0.60517,0.82512,2.36472,0.90076,0.000379743,0.000379743,0.000379743
41,11725.8,0.57715,1.02078,1.89411,0.81935,0.25304,0.28462,0.30336,0.2573,0.25304,0.28462,0.30411,0.25784,0.61244,0.80606,2.13105,0.91995,0.000346736,0.000346736,0.000346736
42,12155.3,0.58104,1.10468,1.67168,0.85506,0.79609,0.3,0.34602,0.29287,0.79609,0.3,0.34685,0.29433,0.56805,0.72603,2.53998,0.88948,0.000313729,0.000313729,0.000313729
43,12584.5,0.59582,0.88061,1.76435,0.84871,0.79518,0.30769,0.36037,0.30951,0.79518,0.30769,0.36037,0.3012,0.55412,0.72232,2.13281,0.88311,0.000280723,0.000280723,0.000280723
44,13015.8,0.58843,0.93415,1.75355,0.83812,0.81463,0.31538,0.34888,0.30858,0.81463,0.31538,0.34862,0.29191,0.60983,0.77663,2.19387,0.91073,0.000247716,0.000247716,0.000247716
45,13443.8,0.5773,0.98123,1.69025,0.84606,0.85972,0.3,0.36383,0.31858,0.85972,0.3,0.36383,0.30254,0.56158,0.71085,2.33893,0.87801,0.00021471,0.00021471,0.00021471
46,13871.1,0.61421,0.93712,1.74757,0.88265,0.84897,0.26923,0.35769,0.30964,0.84897,0.26923,0.35956,0.30267,0.53298,0.72648,2.35593,0.86426,0.000181703,0.000181703,0.000181703
47,14302.8,0.57173,0.90995,1.60215,0.87231,0.79013,0.3,0.35712,0.31343,0.79013,0.3,0.35937,0.29548,0.55169,0.72026,1.89174,0.88127,0.000148696,0.000148696,0.000148696
48,14736.1,0.5579,0.88916,1.55438,0.84758,0.90156,0.25385,0.35971,0.30878,0.90156,0.25385,0.36119,0.3,0.5281,0.67768,2.37424,0.86452,0.00011569,0.00011569,0.00011569
49,15166.3,0.57838,0.91668,1.5797,0.87807,0.9102,0.23077,0.35223,0.30471,0.9102,0.23077,0.35387,0.29282,0.53587,0.68235,2.25695,0.8715,8.26832e-05,8.26832e-05,8.26832e-05
50,15596.1,0.55924,0.91787,1.45279,0.86909,0.9168,0.23846,0.35583,0.31115,0.9168,0.23846,0.35741,0.29814,0.52439,0.6879,2.30626,0.85904,4.96766e-05,4.96766e-05,4.96766e-05
